id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	IID_H196807_T01_01_WG01.count	IID_H196807_T02_01_WG01.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
1	T1_T2	high	trunk	tandem_duplication	1	none	#646464	tandem_duplication	1	1	1.chr1.1	1.chr1.2	231241556.5-231241556.5	231267606.5-231267606.5	NA	1	231241556	231241557	1	231267606	231267607	-	-	DUP	26050	62	6	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
9	T1	high	T1_100	complex	2	none	#7800F8	complex	1	2	1.chr1.1	1.chr5.3	231255210-231322258	119767937-119825639	0.004120081	1	231255208	231255212	5	119825637	119825641	-	-	TRA	-111429571	14	0	_	_	_	_	_	_	_	_	_	PRR16	PRR16	ENST00000379551	1	0	intron	2	3	_	0
3	T1	high	T1_100	complex	2	none	#7800F8	complex	1	2	1.chr1.1	1.chr1.1	231255210-231322258	231255210-231322258	0.004120081	1	231262996	231262998	1	231322257	231322259	+	-	H2H_INV	59261	31	0	_	_	_	_	_	_	_	_	_	TRIM67	TRIM67	ENST00000366652	1	0	intron	1	11	_	0
4	T1	high	T1_100	tandem_duplication	3	none	#7800F8	tandem_duplication	2	1	2.chr1.1	2.chr1.2	234732096-234732096	235276109-235276109	NA	1	234732094	234732098	1	235276107	235276111	-	-	DUP	544013	21	0	_	_	_	_	_	_	_	_	_	TOMM20	TOMM20	ENST00000366607	-1	0	intron	4	5	_	0
IID_H196807_T01_01_WG01.4	T1	high	T1_100	simple_deletion	4	none	#7800F8	simple_deletion	3	1	3.chr2.1	3.chr2.2	221050358-221050358	225067259-225067259	NA	2	221050357	221050359	2	225067258	225067260	+	+	DEL	4016901	32	0	AC114765.1	AC114765.1	ENST00000432993	1	_	UTRintron	1	4	_	_	_	_	_	_	_	_	_	_	0
141	T1_T2	high	trunk	chromothripsis	5	none	#646464	complex	2_1	87	2.chr14.2	2.chr14.2	44725244.5-qtel	44725244.5-qtel	0.049989347	14	44731535	44731536	14	57778194	57778195	-	-	DUP	13046659	32	5	RP11-305B6.3	RP11-305B6.3	ENST00000553827	-1	_	UTRintron	1	3	_	_	_	_	_	_	_	_	_	_	0
513	T1_T2	high	trunk	chromothripsis	5	none	#646464	complex	2_1	87	2.chr14.2	2.chr14.2	44725244.5-qtel	44725244.5-qtel	0.049989347	14	46422981	46422982	14	85759596	85759597	+	+	DEL	39336615	29	7	LINC00871	LINC00871	ENST00000555246	1	_	UTRintron	1	6	_	_	_	_	_	_	_	_	_	_	0
121	T1_T2	high	trunk	chromothripsis	5	none	#646464	complex	2_1	87	2.chr14.2	2.chr14.2	44725244.5-qtel	44725244.5-qtel	0.049989347	14	48794980	48794982	14	55358286	55358288	+	+	DEL	6563306	25	10	_	_	_	_	_	_	_	_	_	GCH1	GCH1	ENST00000395514	-1	1	intron	1	7	_	0
213	T1_T2	high	trunk	chromothripsis	5	none	#646464	complex	2_1	87	2.chr14.2	2.chr14.2	44725244.5-qtel	44725244.5-qtel	0.049989347	14	48798349	48798350	14	59724606	59724607	-	+	T2T_INV	10926257	37	8	_	_	_	_	_	_	_	_	_	DAAM1	DAAM1	ENST00000351081	1	_	5UTRintron	1	26	_	0
381	T1_T2	high	trunk	chromothripsis	5	none	#646464	complex	2_1	87	2.chr14.2	2.chr14.2	44725244.5-qtel	44725244.5-qtel	0.049989347	14	53162013	53162015	14	77716269	77716271	+	-	H2H_INV	24554256	19	2	ERO1L	ERO1L	ENST00000395686	-1	0	intron	1	16	_	TMEM63C	TMEM63C	ENST00000298351	1	1	intron	21	24	_	700
171	T1_T2	high	trunk	chromothripsis	5	none	#646464	complex	2_1	87	2.chr14.2	2.chr14.2	44725244.5-qtel	44725244.5-qtel	0.049989347	14	53367880	53367881	14	59320976	59320977	-	-	DUP	5953096	26	2	FERMT2	FERMT2	ENST00000395631	-1	1	intron	3	15	_	RP11-112J1.2	RP11-112J1.2	ENST00000556815	1	_	UTRintron	1	6	_	200
131	T1_T2	high	trunk	chromothripsis	5	none	#646464	complex	2_1	87	2.chr14.2	2.chr14.2	44725244.5-qtel	44725244.5-qtel	0.049989347	14	55434662	55434665	14	55457151	55457154	-	-	DUP	22489	26	7	WDHD1	WDHD1	ENST00000360586	-1	2	intron	16	26	_	WDHD1	WDHD1	ENST00000360586	-1	0	intron	12	26	_	680
271	T1_T2	high	trunk	chromothripsis	5	none	#646464	complex	2_1	87	2.chr14.2	2.chr14.2	44725244.5-qtel	44725244.5-qtel	0.049989347	14	58772361	58772363	14	70552659	70552661	+	-	H2H_INV	11780298	36	4	ARID4A	ARID4A	ENST00000355431	1	0	intron	4	24	_	SLC8A3	SLC8A3	ENST00000381269	-1	2	intron	2	8	_	700
291	T1_T2	high	trunk	chromothripsis	5	none	#646464	complex	2_1	87	2.chr14.2	2.chr14.2	44725244.5-qtel	44725244.5-qtel	0.049989347	14	58773664	58773668	14	74179309	74179313	-	+	T2T_INV	15405645	36	5	ARID4A	ARID4A	ENST00000355431	1	1	intron	5	24	_	PNMA1	PNMA1	ENST00000316836	-1	_	exon	1	1	_	740
413	T1_T2	high	trunk	chromothripsis	5	none	#646464	complex	2_1	87	2.chr14.2	2.chr14.2	44725244.5-qtel	44725244.5-qtel	0.049989347	14	58909731	58909738	14	82406879	82406886	-	+	T2T_INV	23497148	27	2	KIAA0586	KIAA0586	ENST00000261244	1	0	intron	5	30	_	RP11-666E17.1	RP11-666E17.1	ENST00000554814	1	_	UTRintron	3	4	_	200
