id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.116991.T1.1.D1.1.count	I.H.116991.T2.1.D1.1.count	I.H.116991.T3.1.D1.1.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
364	T1_T2_T3	high	trunk	DM	2	mycn	#646464	complex	2	3	2.chr2.2	2.chr2.2	15577960-16416331	15577960-16416331	0.001217223	2	15577959	15577961	2	16416330	16416332	-	-	0	0	817	668	3413	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	_	_	_	_	_	_	_	_	_	0
192	T3	high	R2 100%	chromothripsis	10	mycn	#D2BFE6	complex	6	266	NA	NA	NA	NA	NA	2	15582720	15582720	2	16183278	16183280	+	-	0	0	0	0	11	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	200
15	T3	high	R2 100%	chromothripsis	10	mycn	#D2BFE6	complex	6	266	NA	NA	NA	NA	NA	2	15584081	15584081	2	15668142	15668144	+	-	0	0	0	0	19	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	NBAS	NBAS	ENST00000281513	-1	2	intron	9	52	_	530
8	T3	high	R2 100%	chromothripsis	10	mycn	#D2BFE6	complex	6	266	NA	NA	NA	NA	NA	2	15584136	15584136	2	15596549	15596549	+	+	0	0	0	0	25	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	460
167	T3	high	R2 100%	chromothripsis	10	mycn	#D2BFE6	complex	6	266	NA	NA	NA	NA	NA	2	15584182	15584182	2	16153754	16153754	+	+	0	0	0	0	11	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	200
337	T3	high	R2 100%	chromothripsis	10	mycn	#D2BFE6	complex	6	266	NA	NA	NA	NA	NA	2	15584369	15584369	2	16388554	16388554	+	+	0	0	0	0	23	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	_	_	_	_	_	_	_	_	_	0
67	T3	high	R2 100%	chromothripsis	10	mycn	#D2BFE6	complex	6	266	NA	NA	NA	NA	NA	2	15586342	15586344	2	15939212	15939214	-	-	0	0	0	0	37	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	_	_	_	_	_	_	_	_	_	0
157	T3	high	R2 100%	chromothripsis	10	mycn	#D2BFE6	complex	6	266	NA	NA	NA	NA	NA	2	15589252	15589252	2	16135676	16135676	+	+	0	0	0	0	21	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	_	_	_	_	_	_	_	_	_	0
276	T3	high	R2 100%	chromothripsis	10	mycn	#D2BFE6	complex	6	266	NA	NA	NA	NA	NA	2	15590274	15590274	2	16268553	16268553	+	+	0	0	0	0	48	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	_	_	_	_	_	_	_	_	_	0
304	T3	high	R2 100%	chromothripsis	10	mycn	#D2BFE6	complex	6	266	NA	NA	NA	NA	NA	2	15590403	15590405	2	16352888	16352888	-	+	0	0	0	0	43	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	_	_	_	_	_	_	_	_	_	0
13	T3	high	R2 100%	chromothripsis	10	mycn	#D2BFE6	complex	6	266	NA	NA	NA	NA	NA	2	15590985	15590987	2	15643671	15643671	-	+	0	0	0	0	39	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	NBAS	NBAS	ENST00000281513	-1	0	intron	11	52	_	530
