id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.134819.T10.3.D1.1.count	I.H.134819.T11.3.D1.1.count	I.H.134819.T12.3.D1.1.count	I.H.134819.T14.3.D1.1.count	I.H.134819.T15.3.D1.1.count	I.H.134819.T16.3.D1.1.count	I.H.134819.T9.3.D1.1.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
1	T15_35__T16_39	high	R4 35% / R5 39%	complex_unclassified	64	none	#FF9D00	complex	29	5	NA	NA	NA	NA	NA	1	17331091	17331096	1	17333941	17333946	+	+	DEL	2850	0	0	1	0	14	12	0	ATP13A2	ATP13A2	ENST00000341676	-1	0	intron	5	27	_	ATP13A2	ATP13A2	ENST00000341676	-1	1	intron	1	27	_	680
4	T15_35__T16_39	high	R4 35% / R5 39%	complex_unclassified	64	none	#FF9D00	complex	29	5	NA	NA	NA	NA	NA	1	17333530	17333532	1	17335471	17335471	-	+	T2T_INV	1941	0	0	2	0	12	16	0	ATP13A2	ATP13A2	ENST00000341676	-1	1	intron	1	27	_	ATP13A2	ATP13A2	ENST00000341676	-1	1	intron	1	27	_	450
2	T15_35__T16_39	high	R4 35% / R5 39%	complex_unclassified	64	none	#FF9D00	complex	29	5	NA	NA	NA	NA	NA	1	17333950	17333950	1	17334973	17334975	+	-	H2H_INV	1023	0	0	0	0	7	12	0	ATP13A2	ATP13A2	ENST00000341676	-1	1	intron	1	27	_	ATP13A2	ATP13A2	ENST00000341676	-1	1	intron	1	27	_	450
3	T15_35__T16_39	high	R4 35% / R5 39%	complex_unclassified	64	none	#FF9D00	complex	29	5	NA	NA	NA	NA	NA	1	17334354	17334356	1	17335459	17335461	-	-	DUP	1105	0	0	0	0	13	20	0	ATP13A2	ATP13A2	ENST00000341676	-1	1	intron	1	27	_	ATP13A2	ATP13A2	ENST00000341676	-1	1	intron	1	27	_	460
5	T15_35__T16_39	high	R4 35% / R5 39%	complex_unclassified	64	none	#FF9D00	complex	29	5	NA	NA	NA	NA	NA	1	17334817	17334817	1	17344353	17344353	+	+	DEL	9536	0	0	0	0	18	11	0	ATP13A2	ATP13A2	ENST00000341676	-1	1	intron	1	27	_	_	_	_	_	_	_	_	_	_	0
6	T11	high	R1 77%	simple_deletion	96	none	#974706	simple_deletion	1	1	1.chr1.1	1.chr1.2	24924866.5-24924866.5	24976631.5-24976631.5	NA	1	24924866	24924867	1	24976631	24976632	+	+	DEL	51765	0	17	0	0	0	0	0	NCMAP	NCMAP	ENST00000374392	1	1	intron	2	4	_	SRRM1	SRRM1	ENST00000323848	1	2	intron	5	17	_	700
7	T14	high	R3 100%	tandem_duplication	34	none	#FF0080	tandem_duplication	52	1	NA	NA	NA	NA	NA	1	78583654	78583657	1	78890603	78890606	-	-	DUP	306949	0	0	0	34	0	0	0	GIPC2	GIPC2	ENST00000370759	1	1	intron	3	6	_	PTGFR	PTGFR	ENST00000370758	1	_	5UTRintron	2	4	_	200
8	T15_35__T16_39	high	R4 35% / R5 39%	tandem_duplication	65	none	#FF9D00	tandem_duplication	41	1	NA	NA	NA	NA	NA	1	97716867	97716869	1	97892639	97892641	-	-	DUP	175772	0	0	0	0	15	10	0	DPYD	DPYD	ENST00000370192	-1	1	intron	18	23	_	DPYD	DPYD	ENST00000370192	-1	0	intron	14	23	_	680
9	T14	high	R3 100%	tandem_duplication	35	none	#FF0080	tandem_duplication	56	1	NA	NA	NA	NA	NA	1	97999337	97999338	1	98090723	98090724	-	-	DUP	91386	0	0	0	7	0	0	0	DPYD	DPYD	ENST00000370192	-1	0	intron	12	23	_	DPYD	DPYD	ENST00000370192	-1	1	intron	8	23	_	680
10	T14	high	R3 100%	tandem_duplication	36	none	#FF0080	tandem_duplication	3	1	3.chr1.1	3.chr1.2	104598235.5-104598235.5	104599026.5-104599026.5	NA	1	104598233	104598238	1	104599024	104599029	-	-	DUP	791	0	0	0	4	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
17	T11_T12_T15_T16_100	high	R1,R2,R4,R5 100%	complex_unclassified	6	none	#3F813F	unbalanced_translocation	65	1	NA	NA	NA	NA	NA	1	104865416	104865420	21	36088851	36088855	-	+	TRA	-1	0	19	19	0	38	44	0	_	_	_	_	_	_	_	_	_	CLIC6	CLIC6	ENST00000349499	1	_	3UTRexon	6	6	_	0
67	T11_T12_T15_T16_100	high	R1,R2,R4,R5 100%	complex_unclassified	6	none	#3F813F	unbalanced_translocation	1	1	1.chr1.1	1.chr7.3	104865418-104865867.5	132899302.5-132899302.5	0.009553524	1	104865865	104865870	7	132899300	132899305	+	+	TRA	-1	0	26	31	0	37	45	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
