id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.133120.T10.1.D1.2.count	I.H.133120.T11.1.D1.2.count	I.H.133120.T9.1.D1.2.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
2	T11_T10_T9	high	trunk	unbalanced_translocation	1	1p_loss|7q_gain	#646464	unbalanced_translocation	1	1	1.chr1.1	1.chr7.2	68840612.5-68840612.5	87436986.5-87436986.5	NA	1	68840611	68840614	7	87436985	87436988	-	+	0	0	16	19	13	_	_	_	_	_	_	_	_	_	RUNDC3B	RUNDC3B	ENST00000338056	1	2	intron	10	12	_	0
5	T11	high	R2 100%	complex_unclassified	14	none	#963634	complex	15	2	NA	NA	NA	NA	NA	1	102167178	102167180	20	57085329	57085331	-	-	0	0	0	4	0	_	_	_	_	_	_	_	_	_	APCDD1L	APCDD1L	ENST00000371149	-1	1	intron	1	4	_	0
14	T11_T10_T9	high	trunk	unbalanced_translocation	2	2p_gain|4p_loss	#646464	unbalanced_translocation	2	1	2.chr2.1	2.chr4.2	47547693.5-47547693.5	41326200.5-41326200.5	NA	2	47547693	47547694	4	41326200	41326201	+	+	0	0	15	20	21	AC073283.4	AC073283.4	ENST00000448713	-1	_	UTRintron	2	3	_	_	_	_	_	_	_	_	_	_	0
8	T11	high	R2 100%	tandem_duplication	15	none	#963634	tandem_duplication	31	1	NA	NA	NA	NA	NA	2	96672119	96672120	2	97032826	97032827	-	-	0	0	0	31	0	_	_	_	_	_	_	_	_	_	NCAPH	NCAPH	ENST00000240423	1	0	intron	14	18	_	0
69	T11	high	R2 100%	complex_unclassified	39	none	#963634	complex	9	3	NA	NA	NA	NA	NA	2	109576378	109576380	5	10577	10579	-	-	0	0	0	9	0	EDAR	EDAR	ENST00000258443	-1	_	5UTRintron	1	12	_	_	_	_	_	_	_	_	_	_	0
9	T11	high	R2 100%	simple_deletion	16	none	#963634	simple_deletion	3_1	1	3.chr2.1	3.chr2.1	cen_end-120312502.5	cen_end-120312502.5	0.04592086	2	119337809	119337811	2	119405315	119405317	+	+	0	0	0	5	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
15	T11	high	R2 100%	unbalanced_translocation	17	none	#963634	unbalanced_translocation	3_2	1	3.chr2.1	3.chr4.2	cen_end-120312502.5	131991715.5-131991715.5	0.04592086	2	120312500	120312505	4	131991713	131991718	+	+	0	0	0	6	0	PCDP1	PCDP1	ENST00000413369	1	0	intron	3	24	_	_	_	_	_	_	_	_	_	_	0
70	T10_T9	high	R1 100% / TR1 45%	complex	38	none	#007D68	complex	1	2	1.chr2.1	1.chr5.2	cen_end-qtel	ptel-11317	1.67E-07	2	124070088	124070090	5	11062	11064	-	-	0	0	12	0	5	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
71	T10_T9	high	R1 100% / TR1 45%	complex	39	none	#007D68	complex	1	2	1.chr2.1	1.chr5.2	cen_end-qtel	ptel-11317	1.67E-07	2	185739718	185739718	5	11317	11317	+	+	0	0	3	0	3	ZNF804A	ZNF804A	ENST00000302277	1	0	intron	2	4	_	_	_	_	_	_	_	_	_	_	0
I-H-133120-T9-1-D1-2.4	T9	high	TR1 24%	simple_deletion	33	none	#7800F8	simple_deletion	40	1	NA	NA	NA	NA	NA	3	29348783	29348784	3	29430077	29430078	+	+	0	0	0	0	8	RBMS3	RBMS3	ENST00000383766	1	0	intron	1	14	_	RBMS3	RBMS3	ENST00000383766	1	0	intron	1	14	_	460
13	T11	high	R2 100%	simple_deletion	18	none	#963634	simple_deletion	11	1	NA	NA	NA	NA	NA	4	571883	571886	4	580168	580171	+	+	0	0	0	20	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
17	T11_T10_T9	high	trunk	simple_deletion	3	none	#646464	simple_deletion	3	1	3.chr4.1	3.chr4.2	179425884.5-179425884.5	179479524.5-179479524.5	NA	4	179425884	179425885	4	179479524	179479525	+	+	0	0	10	12	17	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
72	T11_T10_T9	high	trunk	complex_unclassified	36	DLG2|11q_loss|17q_gain	#646464	complex	4	3	4.chr5.3	4.chr17.2	ptel-10834	10509668-10509668	4.42E-05	5	10052	10052	17	10509667	10509669	+	-	0	0	10	10	12	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
