id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.134722.T19.2.D1.1.count	I.H.134722.T20.2.D1.1.count	I.H.134722.T21.2.D1.1.count	I.H.134722.T22.2.D1.1.count	I.H.134722.T23.2.D1.1.count	I.H.134722.T24.2.D1.1.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
151	T22_T23	high	A4 8% / A5 93%	simple_deletion	28	none	#FF0000	simple_deletion	30	1	NA	NA	NA	NA	NA	1	12153889	12153890	1	12230862	12230863	+	+	DEL	76973	0	0	0	6	35	0	TNFRSF8	TNFRSF8	ENST00000417814	1	_	5UTRintron	1	14	_	TNFRSF1B	TNFRSF1B	ENST00000376259	1	0	intron	1	10	_	820
154	T21	high	A3 14%	simple_deletion	19	none	#660066	simple_deletion	1	1	1.chr1.1	1.chr1.2	154961409-154961409	154962553-154962553	NA	1	154961409	154961409	1	154962553	154962553	+	+	DEL	1144	0	0	7	0	0	0	FLAD1	FLAD1	ENST00000405236	1	1	intron	1	4	_	FLAD1	FLAD1	ENST00000405236	1	1	intron	1	4	_	460
156	T23	high	A5 60%	simple_deletion	41	none	#7800F8	simple_deletion	1	1	1.chr1.1	1.chr1.2	194231845-194231845	194245633-194245633	NA	1	194231842	194231848	1	194245630	194245636	+	+	DEL	13788	0	0	0	0	13	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
157	T24	high	A6 53%	tandem_duplication	56	none	#F23CFF	tandem_duplication	1	1	1.chr1.1	1.chr1.2	209557642.5-209557642.5	209576986.5-209576986.5	NA	1	209557641	209557644	1	209576985	209576988	-	-	DUP	19344	0	0	0	0	0	36	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
180	T20_T21_T22_T23_T24	high	trunk	DM	1	mycn	#646464	complex	15	2	NA	NA	NA	NA	NA	2	10235553	10235819	2	16382986	16383110	-	-	DUP	6147433	36	1873	2338	1858	2199	2358	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	T20_T21_T22_T23_T24	high	trunk	chromothripsis	2	mycn	#00B0F0	complex	15	2	NA	NA	NA	NA	NA	2	10242375	10242375	2	13906919	13906919	+	+	DEL	3664544	0	46	68	56	70	76	_	_	_	_	_	_	_	_	_	LINC00276	LINC00276	ENST00000417751	-1	_	UTRintron	3	5	_	0
181	T20_T21_T22_T23_T24	high	trunk	DM	1	mycn	#646464	complex	16	2	NA	NA	NA	NA	NA	2	10291539	10291979	2	13492390	13492800	+	+	DEL	3200851	5	140	186	98	151	251	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	T20_T21_T22_T23_T24	high	trunk	chromothripsis	2	mycn	#00B0F0	complex	16	2	NA	NA	NA	NA	NA	2	10291668	10291668	2	13492649	13492649	+	+	DEL	3200981	5	13	23	22	18	21	C2orf48	C2orf48	ENST00000381786	1	1	intron	3	4	_	_	_	_	_	_	_	_	_	_	0
182	T20_T21_T22_T23_T24	high	trunk	DM	1	mycn	#646464	inversion	46	1	NA	NA	NA	NA	NA	2	10312134	10312725	2	12695383	12695813	+	-	INV	2383249	1	191	212	211	204	186	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
11	T20_T21_T22_T23_T24	high	trunk	chromothripsis	2	mycn	#00B0F0	complex	22	24	NA	NA	NA	NA	NA	2	10353928	10353930	2	14068208	14068210	-	-	DUP	3714280	0	21	31	36	48	41	_	_	_	_	_	_	_	_	_	LINC00276	LINC00276	ENST00000417751	-1	_	UTRintron	2	5	_	0
