id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.116988.T1.1.D1.1.count	I.H.116988.T2.1.D1.1.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
5	T1_T2	high	trunk	simple_deletion	1	none	#646464	simple_deletion	1	1	1.chr2.1	1.chr2.2	54908901.5-54908901.5	55076327.5-55076327.5	NA	2	54908901	54908902	2	55076327	55076328	+	+	0	0	38	44	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
12	T1_T2	high	trunk	complex	2	none	#646464	complex	2	2	2.chr4.1	2.chr4.1	183089420-183474581.5	183089420-183474581.5	0.000221218	4	183089418	183089422	4	183130652	183130656	-	-	0	0	29	33	TENM3	TENM3	ENST00000512480	1	_	5UTRintron	1	3	_	TENM3	TENM3	ENST00000512480	1	_	5UTRintron	1	3	_	840
13	T1_T2	high	trunk	complex	2	none	#646464	complex	2	2	2.chr4.1	2.chr4.1	183089420-183474581.5	183089420-183474581.5	0.000221218	4	183439490	183439491	4	183474581	183474582	-	-	0	0	28	35	TENM3	TENM3	ENST00000511685	1	1	intron	3	28	_	TENM3	TENM3	ENST00000511685	1	1	intron	3	28	_	460
14	T1_T2	high	trunk	simple_deletion	4	none	#646464	simple_deletion	3	1	3.chr6.1	3.chr6.2	64981044.5-64981044.5	66573174.5-66573174.5	NA	6	64981043	64981046	6	66573173	66573176	+	+	0	0	26	27	EYS	EYS	ENST00000503581	-1	2	intron	30	43	_	_	_	_	_	_	_	_	_	_	0
15	T1_T2	high	trunk	simple_deletion	5	none	#646464	simple_deletion	4	1	4.chr6.1	4.chr6.2	86184806-86184806	86329833-86329833	NA	6	86184805	86184807	6	86329832	86329834	+	+	0	0	32	61	NT5E	NT5E	ENST00000257770	1	1	intron	3	9	_	SYNCRIP	SYNCRIP	ENST00000355238	-1	0	intron	8	12	_	540
20	T1_T2	high	trunk	unbalanced_translocation	6	7q_gain|11q_loss	#646464	unbalanced_translocation	5	1	5.chr7.1	5.chr11.2	66605829.5-66605829.5	71726179.5-71726179.5	NA	7	66605829	66605830	11	71726179	71726180	-	-	0	0	29	42	TYW1	TYW1	ENST00000359626	1	0	intron	13	16	_	NUMA1	NUMA1	ENST00000393695	-1	1	exon	15	27	_	500
21	T1_T2	high	trunk	complex_unclassified	7	none	#646464	complex	6	3	6.chr7.1	6.chr7.1	147571590.5-148522381	147571590.5-148522381	0.025140836	7	147571589	147571592	7	148115559	148115562	+	+	0	0	11	11	CNTNAP2	CNTNAP2	ENST00000361727	1	1	intron	13	24	_	CNTNAP2	CNTNAP2	ENST00000361727	1	_	3UTRexon	24	24	_	200
22	T1_T2	high	trunk	complex_unclassified	7	none	#646464	complex	6	3	6.chr7.1	6.chr7.1	147571590.5-148522381	147571590.5-148522381	0.025140836	7	148103262	148103265	7	148115639	148115642	-	-	0	0	9	8	CNTNAP2	CNTNAP2	ENST00000361727	1	1	intron	22	24	_	CNTNAP2	CNTNAP2	ENST00000361727	1	_	3UTRexon	24	24	_	200
23	T1_T2	high	trunk	complex_unclassified	7	none	#646464	complex	6	3	6.chr7.1	6.chr7.1	147571590.5-148522381	147571590.5-148522381	0.025140836	7	148487416	148487420	7	148522379	148522383	+	+	0	0	35	44	CUL1	CUL1	ENST00000325222	1	_	exon	16	22	_	EZH2	EZH2	ENST00000320356	-1	1	intron	8	20	_	500
25	T1_T2	high	trunk	simple_deletion	8	none	#646464	simple_deletion	7	1	7.chr8.1	7.chr8.2	89271883.5-89271883.5	89283838.5-89283838.5	NA	8	89271883	89271884	8	89283838	89283839	+	+	0	0	34	51	MMP16	MMP16	ENST00000286614	-1	0	intron	1	10	_	MMP16	MMP16	ENST00000286614	-1	0	intron	1	10	_	460
