id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.116987.T1.1.D1.1.count	I.H.116987.T2.1.D1.1.count	I.H.116987.T3.1.D1.1.count	I.H.116987.T4.1.D1.1.count	I.H.116987.T5.1.D1.1.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
1	T1_T2_T3_T4	high	trunk	complex_unclassified	1	none	#646464	complex	1	2	1.chr1.1	1.chr1.2	32966213-32966268	33005342-33005346	6.38E-09	1	32966213	32966213	1	33005342	33005342	+	+	0	0	43	30	35	40	0	_	_	_	_	_	_	_	_	_	ZBTB8A	ZBTB8A	ENST00000373510	1	_	5UTRintron	1	5	_	0
2	T1_T2_T3_T4	high	trunk	complex_unclassified	1	none	#646464	complex	1	2	1.chr1.1	1.chr1.2	32966213-32966268	33005342-33005346	6.38E-09	1	32966267	32966269	1	33005345	33005347	-	-	0	0	27	36	46	36	0	_	_	_	_	_	_	_	_	_	ZBTB8A	ZBTB8A	ENST00000373510	1	_	5UTRintron	1	5	_	0
394	T1_T2_T3_T4_T5	high	trunk	DM	2	mycn	#646464	tandem_duplication	1	1	1.chr2.1	1.chr2.2	15016874-15016874	16582279-16582279	NA	2	15016872	15016876	2	16582277	16582281	-	-	0	0	11593	10612	1096	1102	79	_	_	_	_	_	_	_	_	_	AC010880.1	AC010880.1	ENST00000427950	1	_	UTRintron	2	4	_	0
440	T1_T2_T3_T4_T5	high	trunk	simple_deletion	3	none	#646464	simple_deletion	2	1	2.chr7.1	2.chr7.2	31590329-31590329	31591994-31591994	NA	7	31590329	31590329	7	31591994	31591994	+	+	0	0	16	25	7	8	5	CCDC129	CCDC129	ENST00000407970	1	_	5UTRintron	1	14	_	CCDC129	CCDC129	ENST00000407970	1	_	5UTRintron	1	14	_	840
445	T1_T2_T3_T4_T5	high	trunk	unbalanced_translocation	4	17p_loss	#646464	unbalanced_translocation	3	1	3.chr16.1	3.chr17.2	29460297-29460297	38580389-38580389	NA	16	29460294	29460300	17	38580386	38580392	-	+	0	0	11	13	14	11	2	SNX29P2	SNX29P2	ENST00000398878	1	_	UTRintron	12	13	_	_	_	_	_	_	_	_	_	_	0
17	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15022682	15022683	2	15289616	15289617	+	-	0	0	3034	2518	0	0	12	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
192	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15025290	15025292	2	16142254	16142256	-	-	0	0	3149	2863	2	0	12	_	_	_	_	_	_	_	_	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	0
72	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15028506	15028508	2	15852099	15852099	-	+	0	0	52	55	0	0	0	AC068286.1	AC068286.1	ENST00000416173	-1	_	UTRintron	2	3	_	_	_	_	_	_	_	_	_	_	0
320	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15029820	15029820	2	16418844	16418846	+	-	0	0	99	96	0	0	0	AC068286.1	AC068286.1	ENST00000416173	-1	_	UTRintron	2	3	_	_	_	_	_	_	_	_	_	_	0
50	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15031953	15031953	2	15719698	15719698	+	+	0	0	11	13	0	0	0	AC068286.1	AC068286.1	ENST00000416173	-1	_	UTRintron	1	3	_	_	_	_	_	_	_	_	_	_	0
83	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15034705	15034706	2	15905029	15905030	+	+	0	0	3518	2942	0	0	11	AC068286.1	AC068286.1	ENST00000416173	-1	_	UTRintron	1	3	_	_	_	_	_	_	_	_	_	_	0
11	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.9	15028507-15370705	15028507-15370705	0.041617835	2	15039720	15039722	2	15074120	15074122	-	-	0	0	93	73	0	0	1	AC068286.1	AC068286.1	ENST00000416173	-1	_	UTRintron	1	3	_	_	_	_	_	_	_	_	_	_	0
20	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15040794	15040796	2	15401118	15401120	-	-	0	0	2695	2155	0	0	6	AC068286.1	AC068286.1	ENST00000416173	-1	_	UTRintron	1	3	_	NBAS	NBAS	ENST00000281513	-1	0	intron	44	52	_	180
13	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.9	15028507-15370705	15028507-15370705	0.041617835	2	15045435	15045437	2	15198980	15198982	-	-	0	0	81	66	0	0	1	AC068286.1	AC068286.1	ENST00000416173	-1	_	UTRintron	1	3	_	_	_	_	_	_	_	_	_	_	0
