id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.132382.T3.1.D1.2.count	I.H.132382.T4.1.D1.2.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
1	T3_T4	high	trunk	unbalanced_translocation	1	1p_loss|17q_gain	#646464	unbalanced_translocation	1	1	1.chr1.1	1.chr17.2	85445736-85445736	42230147-42230147	NA	1	85445735	85445737	17	42230147	42230147	-	+	0	0	39	30	MCOLN2	MCOLN2	ENST00000370608	-1	2	intron	1	14	_	C17orf53	C17orf53	ENST00000319977	1	0	intron	5	10	_	700
2	T4	high	R1_100	tandem_duplication	2	none	#0070C0	tandem_duplication	1	1	1.chr1.1	1.chr1.2	163028603-163028603	163210341-163210341	NA	1	163028602	163028604	1	163210340	163210342	-	-	0	0	0	29	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
3	T4	high	R1_100	tandem_duplication	3	none	#0070C0	tandem_duplication	2	1	2.chr1.1	2.chr1.2	237314565.5-237314565.5	237321492.5-237321492.5	NA	1	237314565	237314566	1	237321492	237321493	-	-	0	0	1	41	RYR2	RYR2	ENST00000366574	1	0	intron	1	105	_	RYR2	RYR2	ENST00000366574	1	0	intron	1	105	_	460
4	T3_T4	high	trunk	unbalanced_translocation	4	none	#646464	unbalanced_translocation	2	1	2.chr1.1	2.chr15.2	248245637.5-248245637.5	76370805.5-76370805.5	NA	1	248245635	248245640	15	76370803	76370808	-	+	0	0	13	9	OR2L13	OR2L13	ENST00000366478	1	_	5UTRintron	1	3	_	C15orf27	C15orf27	ENST00000388942	1	_	5UTRintron	1	11	_	360
60	T3_T4	high	trunk	DM	5	MYCN	#646464	complex	3	12	3.chr2.1	3.chr2.1	16043789-16521265	16043789-16521265	0.0005299	2	16043788	16043790	2	16521264	16521266	-	-	0	0	9540	16738	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
50	T3_T4	high	trunk	DM	5	MYCN	#646464	complex	3	12	3.chr2.1	3.chr2.1	16043789-16521265	16043789-16521265	0.0005299	2	16073954	16073954	2	16445714	16445714	+	+	0	0	3194	5503	MYCNUN	MYCNUN	ENST00000433810	1	_	UTRintron	2	3	_	_	_	_	_	_	_	_	_	_	0
41	T3_T4	high	trunk	DM	5	MYCN	#646464	complex	3	12	3.chr2.1	3.chr2.1	16043789-16521265	16043789-16521265	0.0005299	2	16076490	16076492	2	16362697	16362697	-	+	0	0	4182	7803	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
21	T3_T4	high	trunk	DM	5	MYCN	#646464	complex	3	12	3.chr2.1	3.chr2.1	16043789-16521265	16043789-16521265	0.0005299	2	16153212	16153212	2	16154621	16154621	+	+	0	0	4976	8558	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	100
59	T4	high	R1_100	DM	5	MYCN	#0070C0	complex	3	2	3.chr2.1	3.chr2.1	16157918-16519797	16157918-16519797	0.000445779	2	16157917	16157919	2	16519796	16519798	-	-	0	0	0	178	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	_	_	_	_	_	_	_	_	_	0
30	T3_T4	high	trunk	DM	5	MYCN	#646464	complex	3	12	3.chr2.1	3.chr2.1	16043789-16521265	16043789-16521265	0.0005299	2	16195255	16195255	2	16197423	16197425	+	-	0	0	10	14	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	AC130710.1	AC130710.1	ENST00000426539	1	_	UTRintron	1	4	_	100
