id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.132372.T3.1.D1.2.count	I.H.132372.T4.1.D1.2.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
12	T3_T4	high	trunk	complex_unclassified	1	none	#646464	complex	1	2	1.chr1.1	1.chr2.2	12355723-12355723	205046522.5-qtel	0.006661768	1	12355723	12355723	2	218710812	218710812	+	+	0	0	13	11	VPS13D	VPS13D	ENST00000358136	1	0	intron	24	70	_	TNS1	TNS1	ENST00000171887	-1	1	intron	17	33	_	540
5	T3_T4	high	trunk	tandem_duplication	2	none	#646464	tandem_duplication	2	1	2.chr2.1	2.chr2.2	19024099-19024099	19053713-19053713	NA	2	19024098	19024100	2	19053712	19053714	-	-	0	0	32	31	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
6	T3_T4	high	trunk	tandem_duplication	2	none	#646464	tandem_duplication	3	1	3.chr2.1	3.chr2.2	20701787-20701787	20723232-20723232	NA	2	20701784	20701790	2	20723229	20723235	-	-	0	0	44	49	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
15	T3_T4	high	trunk	unbalanced_translocation	3	2p_gain	#646464	unbalanced_translocation	4	1	4.chr2.1	4.chr19.2	50090912.5-50090912.5	2912841.5-2912841.5	NA	2	50090911	50090914	19	2912840	2912843	+	+	0	0	35	37	_	_	_	_	_	_	_	_	_	ZNF57	ZNF57	ENST00000306908	1	0	intron	1	4	_	0
13	T3_T4	high	trunk	complex_unclassified	1	none	#646464	complex	1	2	1.chr2.2	1.chr2.2	205046522.5-qtel	205046522.5-qtel	0.006661768	2	205046521	205046524	2	218841429	218841432	+	+	0	0	25	14	_	_	_	_	_	_	_	_	_	TNS1	TNS1	ENST00000413280	-1	_	5UTRintron	1	8	_	0
8	T3_T4	high	trunk	complex_unclassified	4	none	#646464	complex	5	2	5.chr2.1	5.chr2.1	59699136.5-59748192.5	59699136.5-59748192.5	0.000640439	2	59699136	59699137	2	59748192	59748193	-	-	0	0	30	26	RP11-444A22.1	RP11-444A22.1	ENST00000606382	-1	_	UTRintron	3	4	_	RP11-444A22.1	RP11-444A22.1	ENST00000606382	-1	_	UTRintron	2	4	_	100
9	T4	high	R1_100	tandem_duplication	46	none	#3F93CF	tandem_duplication	48	1	NA	NA	NA	NA	NA	2	74628157	74628162	2	74801691	74801696	-	-	0	0	0	5	_	_	_	_	_	_	_	_	_	M1AP	M1AP	ENST00000290536	-1	0	intron	7	11	_	0
10	T3_T4	high	trunk	tandem_duplication	1	none	#646464	tandem_duplication	6	1	6.chr2.1	6.chr2.2	181791708.5-181791708.5	181797055.5-181797055.5	NA	2	181791708	181791709	2	181797055	181797056	-	-	0	0	25	27	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
7	T3_T4	high	trunk	complex_unclassified	5	none	#646464	complex	5	2	5.chr2.1	5.chr2.1	59699136.5-59748192.5	59699136.5-59748192.5	0.000640439	2	59700891	59700893	2	59710955	59710957	+	+	0	0	30	36	RP11-444A22.1	RP11-444A22.1	ENST00000606382	-1	_	UTRintron	3	4	_	RP11-444A22.1	RP11-444A22.1	ENST00000606382	-1	_	UTRintron	3	4	_	100
11	T3_T4	high	trunk	complex_unclassified	1	none	#646464	tandem_duplication	7	1	7.chr2.1	7.chr2.2	210261579.5-210261579.5	210301156.5-210301156.5	NA	2	210261578	210261581	2	210301155	210301158	-	-	0	0	28	23	_	_	_	_	_	_	_	_	_	MAP2	MAP2	ENST00000199940	1	_	5UTRintron	1	15	_	0
25	T3_T4	high	trunk	unbalanced_translocation	6	3p_loss|17q_gain	#646464	unbalanced_translocation	8	1	8.chr3.1	8.chr17.2	65492293.5-65492293.5	26348632.5-26348632.5	NA	3	65492293	65492294	17	26348632	26348633	-	+	0	0	32	38	MAGI1	MAGI1	ENST00000402939	-1	1	intron	2	23	_	_	_	_	_	_	_	_	_	_	0
28	T3_T4	high	trunk	complex_unclassified	7	none	#646464	complex	9	2	9.chr3.1	9.chr3.1	120859744.5-120883744.5	120859744.5-120883744.5	0.000187172	3	120859744	120859745	3	120861380	120861381	-	-	0	0	17	18	STXBP5L	STXBP5L	ENST00000273666	1	0	intron	7	28	_	STXBP5L	STXBP5L	ENST00000273666	1	0	intron	7	28	_	460
29	T3_T4	high	trunk	complex_unclassified	8	none	#646464	complex	9	2	9.chr3.1	9.chr3.1	120859744.5-120883744.5	120859744.5-120883744.5	0.000187172	3	120861255	120861260	3	120883742	120883747	-	-	0	0	9	16	STXBP5L	STXBP5L	ENST00000273666	1	0	intron	7	28	_	STXBP5L	STXBP5L	ENST00000273666	1	1	intron	9	28	_	680
30	T3_T4	high	trunk	tandem_duplication	9	none	#646464	tandem_duplication	10	1	10.chr3.1	10.chr3.2	128157894.5-128157894.5	128275200.5-128275200.5	NA	3	128157894	128157895	3	128275200	128275201	-	-	0	0	41	40	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
31	T4	high	R1_100	tandem_duplication	47	none	#3F93CF	tandem_duplication	2	1	2.chr3.1	2.chr3.2	142167797.5-142167797.5	146462781.5-146462781.5	NA	3	142167797	142167798	3	146462781	146462782	-	-	0	0	0	29	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
32	T3_T4	high	trunk	tandem_duplication	10	none	#646464	tandem_duplication	11	1	11.chr3.1	11.chr3.2	154866701-154866701	154885487-154885487	NA	3	154866699	154866703	3	154885485	154885489	-	-	0	0	25	26	MME	MME	ENST00000460393	1	2	intron	16	23	_	MME	MME	ENST00000460393	1	1	intron	18	23	_	680
33	T3_T4	high	trunk	tandem_duplication	11	none	#646464	tandem_duplication	12	1	12.chr3.1	12.chr3.2	190484857.5-190484857.5	190490672.5-190490672.5	NA	3	190484857	190484858	3	190490672	190490673	-	-	0	0	29	33	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
34	T3_T4	high	trunk	unbalanced_translocation	12	4p_loss	#646464	unbalanced_translocation	13	1	13.chr4.1	13.chrX.2	40547919.5-40547919.5	5901109.5-5901109.5	NA	4	40547918	40547921	X	5901108	5901111	-	-	0	0	30	33	RBM47	RBM47	ENST00000319592	-1	_	5UTRintron	1	6	_	NLGN4X	NLGN4X	ENST00000381095	-1	1	intron	3	6	_	820
